ds,y
2016-09-28,38.89377975463867
2016-09-29,38.56782913208008
2016-09-30,38.68128967285156
2016-10-03,38.445899963378906
2016-10-04,38.63848876953125
2016-10-05,38.64048385620117
2016-10-06,38.65988540649414
2016-10-07,38.57131576538086
2016-10-10,39.111751556396484
2016-10-11,38.96892166137695
2016-10-12,39.1217041015625
2016-10-13,38.72607421875
2016-10-14,38.74299240112305
2016-10-17,38.81415939331055
2016-10-18,39.57555389404297
2016-10-19,39.88608169555664
2016-10-20,39.66064453125
2016-10-21,39.78008270263672
2016-10-24,40.463844299316406
2016-10-25,40.19312286376953
2016-10-26,39.76515197753906
2016-10-27,39.58003234863281
2016-10-28,39.58102798461914
2016-10-31,39.04207992553711
2016-11-01,38.99579620361328
2016-11-02,38.25381088256836
2016-11-03,37.926856994628906
